term	description
implied powers doctrine	the common-law rule that agencies have whatever additional powers are necessarily incidental to their explicit powers; a court will find these powers by necessary implication only where the jurisdiction sought is necessary to accomplish the objectives of the legislative scheme and is essential to the body fulfilling its mandate; see necessary implication
implied repudiation	repudiation that is not express and must be implied or deduced from the circumstances
implied statement	an action, behaviour, or course of conduct that conveys information to observers
implied terms	where the parties to a contract did not address a particular issue, the courts may deem certain contractual provisions to be part of the agreement; for example, the obligation of an employer to provide reasonable notice of termination to an employee is an implied term unless the parties expressly agreed otherwise
improvement	changes made to real property, including construction, alteration, repair, installation, erection, and demolition
in camera hearing	see closed hearing
in escrow	holding of funds or documents by a third party to be released only on certain specified conditions
in facie contempt	is contempt that occurs in the courtroom, in the face of the court
in limine	latin : at the beginning or on the threshold . a motion `` in limine '' is a motion that is tabled by one of the parties at the very beginning of the legal procedures .
in pari delicto	latin : both parties are equally at fault . actually , the usual use of this phrase is `` in pari delicto , potior est conditio possidentis '' which means that where both parties in a dispute are equally at wrong , the person in possession of the contested property will retain it -lrb- ie . the law will not intervene -rrb- .
in personam	latin : all legal rights are either in personam or in rem . an in personam right is a personal right attached to a specific person . in rem rights are property rights and enforceable against the entire world .
in rem	latin : all legal rights are either in personam or in rem . in rem rights are proprietary in nature ; related to the ownership of property and not based on any personal relationship , as is the case with in personam rights .
inadmissibility hearing	adversarial hearing to determine whether or not an applicant is inadmissible
inadmissibility report	a report that sets out the grounds of inadmissibility alleged by the officer, with the related sections of the irpa and the evidence in narrative form
incompetent	not permitted to give evidence
incorporeal	legal rights which are intangible such as copyrights or patents .
incorporeal hereditament	an incorporeal right which is attached to property and which is inheritable .
indefeasible	a right or a title in property that cannot be made void or cancelled by any past event , error or omission in the title .
indemnity	the act of one party protecting or guaranteeing protection , or freedom from liability , of a third party for actions of that party .
indenture	any deed , written contract or sealed agreement .
independent contractor	a self-employed worker engaged by a principal to perform specific work
independent variable	a factor or phenomenon that causes changes to dependent variables
indictable offence	an offence which , in canada , is more serious than those which can proceed by summary conviction . this is the canadian equivalent to the usa `` felony '' . murder and treason are examples of crimes committed in canada which would be indictable offences . these crimes are usually tried by federally - appointed judges and carry heavy sentences .
indictable offences	serious offences such as murder, with longer periods of imprisonment and more complex prosecution procedures than those for summary conviction offences
indictment	usa : a formal accusation returned by a grand jury , that charges a person with a serious crime . it is on the basis of an indictment that an accused person must stand trial .
individual rehabilitation	a method of removing a ground of inadmissibility (criminality) that requires the applicant to apply to a visa officer, who will then consider whether certain criteria have been met
inducing breach of contract	intentional incitement to terminate a contract prematurely
industrial unions	unions that organize all the workers in an industry, whether skilled or unskilled; also called vertical unions
informal accounting	accounting made by letter to the beneficiaries or their representatives that requires obtaining releases from them
information	a sworn written statement made before a justice of the peace that can initiate criminal proceedings against a person
information kit	a resource published by corporations canada that sets out the requirements, procedures, and precedents for incorporating in the federal jurisdiction
informed consent	consent based on information that is sufficient to allow the decision-maker to assess the situation and make an informed decision
informed consent	a legally capable patient's consent to a specific medical treatment, in which the patient is informed by the practitioner of the nature and purpose of the treatment, its risks and benefits, and the risks of not proceeding with it
infrequent claimant	anyone who files fewer than 10 small claims court claims in a small claims court office on or after january 1 in any calendar year
inherent jurisdiction	judicial powers that are essential for the administration of justice
inherent powers doctrine	the common-law rule that an agency has an inherent power to utilize a procedure that is reasonably necessary to carry out its statutory functions even if that power is not explicitly set out in a statute
injunction	1. a court order that prohibits someone from doing some act or compels someone to do some act; 2. a court order intended to prevent future harm, enjoining a defendant to cease an activity or not do it at all
injunction	a court order that prohibits a party from doing something -lrb- restrictive injunction -rrb- or compels them to do something -lrb- mandatory injunction -rrb- .
injunction	a mandatory or prohibitive order or judgment issued by a court .
innocence at stake exception	an exception to solicitor–client privilege when the otherwise protected communication is necessary to establish the client's innocence
innocent misrepresentation	a false statement made to induce a party to enter into a contract that the maker of the statement does not know is false
inquiry	questioning by the offeree as to whether the offeror will consider other terms or is willing to modify the terms of the offer; an inquiry does not constitute a counteroffer and is not a rejection of the original offer
inquisitorial system	a system of resolving disputes through holding a hearing in which the judge or adjudicator plays an active role in investigating, collecting facts, putting forward evidence, and questioning witnesses
insolvent	being unable to pay one's liabilities as they become due, or having assets whose realizable value is less than the aggregate of one's liabilities
insolvent	a person not able to pay debts generally as they become due .
insolvent person	a person who is not bankrupt and whose liabilities exceed his assets and / or ability to pay .
inspector	a person appointed by creditors at the first or subsequent meeting of creditors , as part of a committee , to examine and give direction to the trustee 's administration of the estate of the bankrupt . inspectors may also be appointed pursuant to the provisions of a proposal .
installment	a partial payment of a sum of money owing at regular intervals over a period of time until the amount owing is paid in full
installment note	similar to a promissory note but non- transferable; often used in vendor take-back financing
institutional bias	bias or the appearance of bias on the part of a group of decision-makers in an agency, or of the agency as a whole, arising from aspects of the agency's structure or functions that suggest a lack of independence from a government official or body affected by a decision of the agency
institutional delay	the amount of time it takes for a matter to get to trial, minus any delay that was caused by the defendant
institutional lender	a lender other than an individual, including a bank, trust company, credit union, or insurance company
instrument	a formal document with legal consequences ; e . g . , a debenture , mortgage , chattel mortgage .
insurance	-lrb- i -rrb- an undertaking of one person ; -lrb- ii -rrb- to indemnify another person ; -lrb- iii -rrb- to pay a sum of money or other thing of value ; -lrb- iv -rrb- from loss or liability in respect of an event ; -lrb- v -rrb- the happening of which is uncertain .
insurance binder	documented confirmation that a property has been insured
intangible	long - term or non - current asset that lacks physical substance , but which confers valuable rights or privileges upon the holders ; e . g . , patents , goodwill .
intangible property	personal property where the interest in it or its value rests in rights it confers rather than in its physical properties
intellectual property	legal rights that result from intellectual activity in the industrial, scientific, literary, and artistic fields
intent	the mental state (conscious action, malice, carelessness, etc.) at the time of the act of the person who committed the act
intentional infliction of mental suffering	an act or (false or misleading) statement that is calculated to cause mental anguish, results in a disturbance in the plaintiff's health, and is capable of being diagnosed or confirmed by a physician
intentional tort	a tort that, once proved, is presumed to have been deliberately committed
inter alia	latin : `` among other things '' , `` for example '' or `` including '' . legal drafters would use it to precede a list of examples or samples covered by a more general descriptive statement .
inter partes	latin : between parties .
inter vivos	latin : from one living person to another living person . for example , an inter vivos trust is one which the settlor sets up to take effect while he or she is still alive .
inter vivos trust	trust that is activated while the person setting up the trust is still alive
interdiction	control activity that prevents illegal travellers and criminals from reaching canada
interest	amount added to the principal amount of the loan in return for the right to obtain and use the money advanced
interest adjustment date	date on which an adjustment is made for interest that accumulates between the date the loan was advanced and the charge payment date for the following month; assuming that charge payments are being made monthly, this date will be one month before the date of the first regular payment
interest arbitration	a process where a third party imposes an agreement on the parties
interest rate	rate charged for the use of borrowed money, calculated as a percentage of the amount of the loan
interests	rights to land that are not estates and do not confer a right to exclusive possession of the land
interim accounting	accounting made during the course of estate administration that allows the estate trustee to pay the beneficiaries and concentrate on the remaining unadministered part of the estate
interim dividend	dividend paid to creditors before the administration of the estate of the bankrupt has been finalized ; any dividend that is not a final dividend .
interim dividend	a dividend paid to creditors before the estate is finalized .
interim federal health program	essential and emergency health care coverage for refugees in need of assistance before provincial health care is available
interim invoice	a bill delivered to the client before the client matter is concluded — usually sent with with an interim reporting letter
interim occupancy date	date on which the purchaser takes possession prior to final closing and transfer of title
interim order	a temporary court order ; intended to be of limited duration , usually just until the court has had an opportunity of hearing the full case and make a final order .
interim order	a temporary court order intended to be of limited duration , usually until the court has had an opportunity of hearing the full case and the opportunity of making a final order .
interim period	period of time, beginning on the date of execution of a share or asset purchase and sale agreement and expiring on the date of closing, during which a business continues to operate at the vendor's risk until the conditions of closing are fully satisfied and the transfer can occur
interim receiver	a person appointed by the court to be a watchdog regarding the assets of a debtor during that time between the application to the court for a receiving order and the time where the receiving order is handed down . an interim receiver may also be appointed where a secured creditor is about to send out , or has sent out , a notice of demand under the bankruptcy and insolvency act of its intention to enforce its security , or the debtor has filed a notice of intention to make a proposal or has filed a proposal .
interim reporting letter	a letter sent to the client before the client matter is concluded, usually with an interim invoice — reports the steps taken in the client matter to that point, the results obtained, and the likely next steps
interjurisdictional immunity	the provincial government cannot make rules that affect vital parts of a federally regulated operation; in other words, workplaces that are regulated by the federal government are immune to provincial labour and employment laws
interlineation	an addition of something to a document after it has been signed . such additions are ignored unless they are initialed by the signatories and , if applicable , witnesses -lrb- eg . wills -rrb- .
interlocutory	proceedings taken during the course of , and incidental to a trial .
interlocutory injunction	an injunction which lasts only until the end of the trial during which the injunction was sought .
interlocutory order	order that decides some of the matters at issue
interlocutory/interim injunction	a temporary injunction granted by a court before the final determination of a lawsuit for the purpose of preventing irreparable injury
interloper	a person who , without legal right , runs a business -lrb- eg . without mandatory licenses -rrb- , or who wrongfully interferes or intercepts another 's business .
internal responsibility system	an approach to health and safety that is based on the belief that healthy and safe workplaces require the participation of all the workplace parties
international organization for migration	an intergovernmental organization that works with partners in the international community to assist in meeting the operational challenges of migration, advance understanding of migration issues, encourage social and economic development through migration, and uphold the human dignity and well-being of migrants
interplead	the placing of funds in the courts by a person when there are two or more competing claims for those monies .
interrogatory	a form of disclosure in which one party submits written questions to another party, which that party is required to answer in writing
intervenor	a person who, because he or she may be adversely affected by the outcome or can provide assistance to the tribunal in deciding the dispute, is granted the right to participate in a proceeding, but without the full range of rights granted to a party
intervenor status	the right of a person to participate in a proceeding without the full range of rights usually granted to a party; a tribunal's power to grant individuals such status may be authorized by statute or provided for in a tribunal's procedural rules
intestate	dying without a will .
intestate, intestacy	when a person dies without having made a will, he is said to have died intestate; dying without a will is said to create an intestacy — that is, a situation where the estate will have to be administered without a will
intra-company transfer	a category of work permit designed to assist multinational businesses to move executives temporarily to canada, when required for business
intra-company transferee	a us or mexican citizen who is admitted to canada under nafta for the purpose of assisting in the operations of a foreign company's canadian parent, subsidiary, branch, or affiliate company
inure	to take effect , to result ; to come into operation .
investment account	account that sets out the principal amount that was paid out by the estate trustee to invest funds for the estate and the principal amount that was received back from the investment
invitation to treat	an invitation intended to do nothing more than open up negotiations; usually does not contain essential terms, such as a fixed amount of money to be paid, terms of payment, etc.
invoice	an itemized bill showing goods purchased or services provided together with the charges and terms . an invoice is a bill of sale .
ipso facto	by the fact itself .
issued and entered	a judgment or order is issued when it is signed by a judge or registrar and the court's seal is affixed to it; it is then entered — that is, recorded — by the registrar, using a system for referencing and recording an issued judgment; an entered judgment or order will usually have a stamp on it, indicating the microfilm or disk it was recorded on, or will be otherwise referenced so that it can be found in court files
issued capital	number of shares issued and outstanding in the capital of the corporation
issues	matters that are in dispute in a hearing; the questions that a court or tribunal must answer in order to make a decision; may be questions of fact, questions of what law applies, or of how to apply or interpret the law in the circumstances of the case, or questions of what is the correct policy to apply, or of how to interpret or apply the policy
issuing	official commencement of court proceedings whereby documents that are originating processes are signed by the registrar, dated, sealed with a court seal, and given a file number
j. d .	abbreviation for `` juris doctor '' or `` doctor of jurisprudence '' and the formal name given to the university law degree in the united states .
jactitation	a false boast designed to increase standing at the expense of another .
joint and several liability	form of liability where each party who contributed to a harm (for example, each partner in a partnership or each defendant in an action) is individually liable for any amount up to the full amount of any judgment obtained against the parties
joint and several liability	the liability of more than one person for which each person may be sued for the entire amount of the damages .
joint assistance sponsorship	a refugee sponsorship program that involves both cic and a private sponsor
joint custody	when both parents share care of and decision-making power over the child
joint custody	a child custody decision which means that both parents share joint legal custody and joint physical custody .
joint health and safety committee	an advisory health and safety body that is composed of equal numbers of management and worker representatives; generally required in workplaces with 20 or more workers
joint partner trust	essentially, alter ego trusts for spouses
joint stock company	a company created by statute whose members traded on the capital of all other members
joint tenancy	property is owned by two or more people and, on the death of one owner, the property passes to the other(s) automatically and not to the estate of the owner who died
joint tenancy	the situation where two or more persons are equally owners of a property .
joint venture	a commercial business activity carried on by two or more parties for a common purpose in compliance with established terms and conditions
joint will	rare form of will that is signed by two persons with respect to the disposal of their property after death
judgement	a formal decision , sentence or order of a court of justice .
judgement proof	a term to describe assets protected from being seized by a creditor . i . e . assets a creditor cannot seize by going to court and getting a judgement . these protected assets are also the bankruptcy exemptions -lrb- equity in assets that can be retained in a bankruptcy -rrb- .
judges' privilege	privilege that protects judges and administrative tribunal members against disclosing information behind their decisions
judgment creditor	a creditor who has obtained a judgment for debt against a debtor
judgment debtor	a debtor against whom a judgment has been obtained
judgment in personam	judgment that is binding only on the parties to the proceeding
judgment in rem	judgment that is binding on everyone, whether a party to the proceeding in which the judgment is pronounced or not
judgment proof	term used to describe a debtor against whom a judgment may be obtained, where the judgment will be unenforceable because the debtor has no assets to pay the judgment or the debtor has hidden or encumbered assets so that they cannot be easily seized
judicial discretion	a judge's freedom to apply rules or decide issues in the context of a case
judicial interventionism	an approach to the interpretation of law that draws on social, economic, and political values in interpreting the meaning and application of legal rules and principles
judicial notice	a rule of evidence that allows a decision-maker to accept certain commonly known, indisputable, and uncontentious facts without requiring that they be proven with evidence
judicial review	the process whereby a party asks a superior court or other court granted authority by statute of its supervisory authority over ministries and other government agencies to reconsider a decision of an administrative tribunal to ensure that, for example, it observed the rules of natural justice
judicial review	when a court decision is appealed , it is known as an `` appeal . '' but there are many administrative agencies or tribunals which make decisions or deliver government services of one sort or another , the decisions of which can also be `` appealed . '' in many cases , the `` appeal '' from administrative agencies is known as `` judicial review '' .
judicial sale	sale of charged property ordered and administered by a court
jurat	attestation paragraph
jurat	part of an affidavit that appears at the bottom on the left side of the page and begins with the words "sworn (or affirmed) before me"
jure	latin , from roman law : by right , under legal authority or by the authority of the law .
jurisdiction	a court's area of legal authority; in ontario, jurisdiction is established by the courts of justice act and by the common law
jurisdiction	the limits on what the board can decide and how it must go about making its decisions
jurisdiction	the scope of the authority or powers conferred on a government body or official by legislation or by common law
jurisdiction	refers to a court 's authority to judge over a situation .
jurisdiction shopping	the practice of choosing a jurisdiction in which to start a proceeding based on a party's view of his or her chances of success in that jurisdiction rather than on the jurisdiction's connection with the subject matter of the proceeding
jurisprudence	technically , jurisprudence means the `` science of law '' .
jury	a group of 12 (in criminal cases) or 6 (in civil cases) citizens over the age of majority who are convened to hear evidence, make findings of fact, and deliver a verdict in a trial
jury	a group of citizens randomly selected from the general population who decide on the merits of a legal case .
jus	latin : word which , in roman law , meant the law or a right .
jus sanguinis	citizenship based on blood ties
jus soli	citizenship based on the land of birth
jus spatiandi et manendi	latin : referring to a legal right of way , and to enjoyment , granted to the public but only for the purposes of recreation or education , such as upon parks or public squares .
just cause	very serious employee misconduct or incompetence that warrants dismissal without notice
justice	a justice is the same thing as a judge; "justice," "judge," and "court" are often used interchangeably in reported decisions
justice	fairness . a state of affairs in which conduct or action is both fair and right , given the circumstances .
justice of the peace	a magistrate who presides over proceedings in provincial offences court
justiciable	falling into the category of subjects that are appropriate for examination by a court of justice
labour market opinion	an hrsdc document obtained by a canadian employer in order to employ a foreign worker; also known as an hrsdc confirmation
labour market re-entry plan	a written agreement that sets out a plan for providing an injured worker with the necessary skills to mitigate the loss of earnings resulting from a workplace injury
labour relations officer	an employee of the labour relations board who has duties including investigating and mediating disputes between unions and management
laches	a legal doctrine whereby those who take too long to assert a legal right , lose their entitlement to compensation .
land titles absolute	properties originally in the land titles system prior to polaris; corporate existence and planning act compliance are not guaranteed
land titles assurance fund	fund established under the land titles act to compensate a person wrongfully deprived of an estate or interest in land as a result of an error regarding title
land titles conversion qualified	properties originally in the registry system and converted to the land titles system as a result of polaris; planning act compliance and corporate existence are guaranteed for the period prior to the date of conversion; properties remain subject to any pre-existing mature claims for adverse possession, prescription, or misdescription
land titles plus	properties upgraded from ltcq with the additional guarantee against any mature claims for adverse possession
land titles system	land registration system in ontario governed by the land titles act
land transfer tax	provincial (and possibly municipal) tax on the purchase of land
landlord	a land or building owner who has leased the land , the building or a part of the land or building , to another person .
language	in an immigration context, the ability to speak, read, write, and listen in either french or english
lapse	the termination or failure of an offer through the neglect to accept it within some time limit or through failure of some contingency; or the situation that occurs when a beneficiary specified in a will is not alive at the time of the testator's death
larceny	an old english criminal and common law offence covering the unlawful or fraudulent removal of another 's property without the owner 's consent .
latent defect	defect of which the vendor of a property was aware but which the purchaser did not know about and could not have discovered upon reasonable inspection of the property
law	a rule made by a body of elected representatives or their delegates or by a court, using procedures that are also prescribed by law
law journal	a periodic publication containing scholarly articles about legal issues, often discussing the significance of laws and decisions of courts and tribunals
law of equity	type of law developed several hundred years ago in england wherein judges, rather than following precedents, look at the issues in a case and apply certain principles to ensure a fair outcome
law of evidence	way in which the facts are to be proved, as required by substantive law
law report	see law reporter
law reporter	a periodic publication containing either the full text or a summary of decisions of courts and tribunals as they are released; also called a "law report" or "reporter"
law society of upper canada	professional body governing the activities of lawyers in ontario
lawful rent	the rent that a landlord is permitted to charge a tenant
lawyer	a person who has been called to the bar of ontario (or another jurisdiction that regulates lawyers) and who is licensed to practise law in that jurisdiction
lawyer	a person that has been trained in the law and that has been certified to give legal advice or to represent others in litigation . also known as a `` barrister & solictor '' or an attorney .
lawyer of record	lawyer recognized by the court as the legal representative of a party in a proceeding
lawyers' professional indemnity company	insurance company whose sole shareholder is the law society of upper canada that insures lawyers against errors and omissions and administers titleplus, a title insurance program
layperson's opinion	opinion given by an ordinary witness on a matter of ordinary experience; permitted where the opinion does not unnecessarily encroach on the trier of fact's role
lead hands	employees who direct the work of other employees but who are not managers because they do not hire, fire, or do other managerial functions
leading a witness	asking a witness a question that suggests the answer
leading question	a question put to a witness that contains the unproven facts or conclusions that the questioner wants the witness to confirm, and with which the witness is merely required to agree or disagree; generally, a question that can be answered simply "yes" or "no"; also called a "closed question"; the general rule is that leading questions may be used only in cross-examination of a witness; see also open question
leading question	a question which suggests an answer ; usually answerable by `` yes '' or `` no '' .
lease	a contract between a property owner and a person where the property is rented .
leasehold	real property held under a lease .
leasehold estate	right to exclusive possession of property for a specified period of time in return for the payment of rent
leasehold improvements	those assets which are attached to a building and cannot be removed from any property being leased .
leave of the court	permission of the court, usually obtained on motion by a party, to take a procedural step
legacy	gift under a will of personal property or money
legal capacity to marry	legal ability to enter into the contract of marriage
legal codes	formal (usually written) collections of legal provisions
legal custody	a child custody decision which entails the right to make , or participate in , the significant decisions affecting a child 's health and welfare -lrb- compare with physical custody and joint custody -rrb- .
legal description	description of land that is used in documents creating an interest in land; describes the land with reference to recorded maps, surveys, or plans
legal fees	fees charged by a lawyer or paralegal for legal representation and advice
legal formalities of marriage	the form a marriage ceremony must take
legal non-conforming right	the right of an owner to continue a pre-existing use of a property after a zoning bylaw comes into force that prohibits the use
legal non-conforming use	status of a building or use of a property that does not conform to the current municipal bylaw but is acceptable because the building or use existed before the passing of the bylaw and has not subsequently been altered or discontinued
legal tender	notes (bills) issued by the bank of canada and coins issued by the royal canadian mint, subject to certain restrictions
legend	conspicuous notice on a share certificate to ensure that the transferee is bound by the terms of the document, notice of which is being given
legislate	pass statutes and bylaws, and make regulations
legislation	the creation of law; the statutes, regulations, and bylaws passed by bodies of elected representatives or their delegates
legislation	written and approved laws . also known as `` statutes '' or `` acts . ''
legislative assembly	the body of elected representatives constituting the legislative branch of a provincial government; in quebec, known as the "national assembly"; also called the "legislature" or "provincial parliament"
legislative evolution	the amendments made to an enactment over time after it has been passed
legislative history	the background and events leading to the enactment of a law, including matters such as study papers, statements by ministers, debates in the legislative assembly, and changes to an enactment made between its introduction and its final passage
legislature	in canada, the body of elected representatives constituting the legislative branch of the federal or a provincial government; see also legislative assembly, parliament
legitimate expectations	the principle that public officials who create the expectation of a certain result, or an expectation that a certain practice or procedure will be followed, should not be able to change that result, practice, or procedure where the change will have an adverse effect without first notifying those who will be affected and giving them an opportunity to comment on the proposed change
letter	a letter or notice of agreement required in hague convention adoption cases, indicating that the province and adoptive parents agree to the adoption (irp regulations, ss. 117(1)(g)(ii) and 117(3)(f) and (g)). it is sent by the receiving provincial or territorial authorities to the visa office, with a copy to the central authority of the adopted child's country of residence
letter of acceptance	document that indicates that a foreign student has been accepted into a canadian educational institution
letter of direction for transfer and sale of shares	standard direction that serves to confirm to the transfer agent that the estate trustee agrees to the sale of the shares
letter of intent	non-binding letter or memorandum that sets out in writing the essential elements of a proposed transaction; also known as a memorandum of understanding or term sheet
letter of no-involvement	a letter that may be accepted instead of a home study where a private adoption takes place outside canada and in a state that is not a signatory to the hague convention
letter of no-objection	a written statement from the province or territory where the child will live, stating that the province or territory does not object to the adoption (irp regulations, ss. 117(1)(g)(iii)(b) and 117(3)(e))
letter of satisfaction	a document issued by the federal director, good for only 90 days, that authorizes a corporation to continue and that is submitted to the authorities in the importing jurisdiction
letters patent	a document issued by the crown through its representative to create a commercial entity
levy	under the bankruptcy and insolvency act the government has imposed a levy -lrb- in 2009 equal to 5 % -rrb- over all dividends paid to creditors . therefore , if a creditor is entitled to a $ 100 dividend , he will only get $ 95 with $ 5 being paid to the government .
liability	any legal obligation for which a person is responsible .
libel	making a defamatory statement by publishing or broadcasting it
libel	defamation by writing such as in a newspaper or a letter .
liberal construction	means that, when applying a rule or provision, the court goes beyond the exact meaning of the language in order to implement the principles behind the rule
liberal construction	a form of construction which allows a judge to consider other factors when deciding the meaning of a phrase or document .
liberally construed	interpreting a provision or rule without undue emphasis on strict compliance with all procedural requirements and technicalities, with a view to bringing about a resolution that is just and fair to all parties within a reasonable time
licence	a contractual arrangement whereby the owner of certain property such as a trademark, copyright, or patent (the licensor) grants to another person (the licensee) the right to use such property for a royalty fee
licence	a grant of a right; in real property law, a grant of a right to some use of land that does not amount to a grant of an interest in the land
lien	charge for payment of a debt that allows the land to be sold to satisfy the debt
lien	security for the holder against a debtor 's assets , usually arising by operation of law rather than express contract between the parties .
life estate	a transfer of interest in land for a term of years measured by the life of the transferee or by the life of another person; when the person dies, the life estate ends, and the property goes back to the transferor or other persons designated to receive the interest in land
life estate	a right to use and to enjoy land and / or structures on land only for the life of the life tenant .
life tenant	the beneficiary of a life estate .
limitation period	a period defined by statute within which a plaintiff must commence his or her claim; or in criminal law, the time allowed after the alleged commission of an offence within which to lay a charge
limitations acts	provinces have limitation acts which provide a limit on the time by which an action must be started . for example , if an unsecured debt is not collected or payments are not made on the unsecured debt then after a certain time no legal action can be taken to collect the debt . in ontario , the changes to the * limitations act * which came into force on january 1 , 2004 sets two years as the term -lrb- section 4 -rrb- .
limited liability corporation	an alternative to a traditional corporation, general partnership, and limited partnership; like a general partnership, an llc has the advantage of flowthrough taxation — that is, the llc's profits and losses flow through to the llc members — and flexibility in management and other matters; like a corporation, an llc has limited liability for its investing members or shareholders
limited liability partnership	a partnership in which each partner is jointly and severally liable for all the debts and obligations of the partnership except for liabilities arising from professional negligence, which remain those of the partner whose acts or omissions or whose subordinates' acts or omissions resulted in the professional liability
limited partner	a member of a partnership who has agreed to be liable only to the extent of his -lrb- or her -rrb- investment .
limited partnership	a partnership in which there are one or more general partners who are liable for the debts and other obligations of the other partners to an unlimited degree and one or more limited partners whose liability is limited to the amount that such limited partner has contributed to the partnership business
limitrophe	adjacent , bordering or contiguous .
lineal descendant	a person who is a direct descendant such as a child to his or her natural parent .
liquidated amount	a specific sum of money that can be easily and objectively calculated; if a debtor borrows $1,000 for a one-year period at 10 percent interest per year, the amount owing — $1,100 — would be a liquidated amount because it is precise and specific and the total is easily calculated using an objective standard or formula
liquidated claim	claim for a debt or fixed amount of money that does not require valuation by a court
liquidated damages	damages that are easily determined from a fixed or measurable standard or can be assessed by calculating the amount owing from a mathematical formula or from circumstances where no subjective assessment has to be made
liquidated damages	compensation for non - performance or loss which is cash or easily converted into cash .
liquidated damages clause	a term in a contract that attempts to reasonably estimate the damages that will be suffered if the contract is breached
liquidator	a person appointed by the court to supervise and carry out the liquidation and dissolution of a corporation, including paying or making adequate provision for claims against the corporation and distributing any remaining property to the shareholders
lis pendens	a dispute which is the subject of ongoing or pending litigation . oftentimes , a lis pendens can be filed at the land registry office against real property to denote to third parties that another party may have an interest in the property .
literal construction	a form of construction which does not allow evidence extrapolated beyond the actual words of a phrase or document but , rather , takes a phrase or document at face value , giving effect only to the actual words used . also known as `` strict '' or `` strict and literal '' construction .
litigant	a party to a civil action; someone engaged in civil litigation
litigation	legal action
litigation	a dispute that results in formal court action or a law suit .
litigation guardian	a competent adult individual who conducts a lawsuit and instructs counsel on behalf of a party who is under a disability or who is not of full age and capacity
litigation privilege	privilege that protects communications between a client's lawyer or law firm and third parties
livery	delivery . an archaic legal word from the feudal system referring to the actual legal transmission of possession of an object to another .
living will	a document that sets out guidelines for dealing with life - sustaining medical procedures in the eventuality of the signatory 's sudden debilitation . living wills would , for example , inform medical staff not to provide extraordinary life - preserving procedures on their bodies if they are incapable of expressing themselves and suffering from an incurable and terminal condition .
ll.b. , l.m. or ll.d .	the latin abbreviations for the three classes of law degrees : the regular bachelor degree in law -lrb- ll . b . -rrb- , the masters degree in law -lrb- ll . m . -rrb- and the doctorate in law -lrb- ll . d . -rrb- .
locality of debtor	means the principal place during the year immediately preceding the bankruptcy where the debtor has carried on business or where the debtor has resided , or where the greater portion of the property of the debtor is situated .
lockout	an employer's refusal to let unionized employees into the workplace following the expiry of a collective agreement or a failure to reach a first collective agreement, typically while the employer and union are attempting to negotiate a new collective agreement
locus	latin for `` the place . '' for example , lawyers talk of the `` locus delicti '' as the pace where a criminal offense was commited or `` loco parentis '' to refer to a person who stands in the place of a parent such as a step - parent in a common law relationship .
locus standi	see party status
long arm statutes	each court is bound to a territorial jurisdiction and does not normally have jurisdiction over persons that reside outside of that jurisdiction . long - arm statutes are a tool which gives a court jurisdiction over a person even though the person no longer resides in the territory limits of the court .
long-form amalgamation	an amalgamation of two or more corporations, requiring an amalgamation agreement to be approved by special resolution of the shareholders
long-term disability	a plan to pay employees who have a chronic or long-term illness
lost opportunity damages	damages that are based on a longer-term loss of business
lot	200-acre parcel of land created during the original division of land into concessions; also, a parcel of land created by a plan of subdivision
low income cut-off	minimum income requirement for sponsors of permanent residents
low skill pilot project	an hrsdc program designed to meet the labour market demand for temporary foreign workers in low-skill jobs
lump sum payment	payment of the entire amount owing in a single payment, as opposed to payment in installments
macquiladoras	factories set up in a free trade area, close to the us border in mexico; at these locations, non-mexican companies set up assembly and finishing plants, moving raw materials and inventory freely across the border, while using low-wage mexican labour
main action	primary case brought by the plaintiff against the defendant
maintenance	the obligation that one person has to contribute in part or in whole to the cost of living of another person .
majority decision	a decision reached by a majority of the judges hearing a case where a minority of the judges disagree, in whole or in part, with that decision
male job class	generally, a job class in which 70 percent or more of the positions are held by men
malfeasance	doing something which is illegal . compare with misfeasance and nonfeasance .
malicious prosecution	initiation of a criminal proceeding with malicious intent for no reasonable or probable cause
manager	a worker whose decisions affect the economic livelihoods of other workers by actions such as hiring or firing other workers
mandamus	latin term referring to an order of a court to a governmental official, department, or agency compelling the performance of a public duty
mandamus	a writ which commands an individual , organization -lrb- eg . government -rrb- , administrative tribunal or court to perform a certain action , usually to correct a prior illegal action or a failure to act in the first place .
